96,97,98,99,100,101,102,103,104,105;83,84,85,86,87,88,89,90,91,92,93,94,95,96
85,86,87,88,89,90,91,92,93,94,95,96,97;93,94,95,96,97,98,99,100,101,102,103
95,96,97,98,99,100,101,102;86,87,88,89,90,91,92,93,94,95,96
64,65,66,67,68,69,70;60,61,62,63,64,65,66,67,68,69,70,71
76,77,78,79,80;98,99,100,101,102
56,57,58,59,60,61,62,63,64,65,66,67,68,69;85,86,87,88,89,90
86,87,88,89,90,91,92,93,94,95,96,97;60,61,62,63,64,65,66,67,68,69,70,71
66,67,68,69,70,71,72;98,99,100,101,102,103,104,105
57,58,59,60,61,62,63;86,87,88,89,90,91,92
1,2,3,4;3,4,5,6
58,59,60,61,62,63,64,65,66,67;84,85,86,87,88,89,90
50,51,52,53,54,55,56,57,58,59,60,61;80,81,82,83,84,85,86
59,60,61,62,63,64,65,66,67,68,69,70,71,72,73;71,72,73,74,75,76,77,78,79,80,81
93,94,95,96,97,98,99,100,101,102,103,104,105,106,107;76,77,78,79,80,81,82,83,84,85,86,87
9,10,11;33,34,35
80,81,82,83,84,85,86;60,61,62,63,64,65,66,67,68
81,82,83,84,85,86,87,88,89;87,88,89,90,91
72,73,74,75,76;94,95,96,97,98,99,100,101,102,103,104,105,106
9,10,11;11,12,13
20,25,36,45,89;25,36,77,88,98
